date,Open,High,Low,Close,Volume
22-06-2022,36.37,36.84,33.61,34.07,1533123071
23-06-2022,34.07,38.57,33.89,38.13,1666479184
24-06-2022,38.13,42.87,37.65,41.87,1765927064
25-06-2022,41.87,42.56,39.73,42.2,1271293523
26-06-2022,42.2,42.45,39.16,39.38,1138724690
27-06-2022,39.38,41.22,37.96,38.46,1253389517
28-06-2022,38.46,39.85,35.04,35.29,1361946847
29-06-2022,35.29,36.05,33.09,33.96,1366803516
30-06-2022,33.96,34.14,30.88,33.74,1321861663
01-07-2022,33.74,35.34,31.75,32.8,1427407655
02-07-2022,32.8,34.09,31.82,33.32,765552187
03-07-2022,33.32,33.63,32.11,33.36,605659825
04-07-2022,33.36,36.89,32.42,36.68,1091202628
05-07-2022,36.68,36.93,33.11,35.37,1569156882
06-07-2022,35.37,37.57,34.78,37.01,1410588451
07-07-2022,37.01,39.23,36.37,38.46,1189167903
08-07-2022,38.46,39.81,36.45,38.11,1485794730
09-07-2022,38.11,38.88,37.76,38.05,789899204
10-07-2022,38.05,38.12,36.26,36.66,714119421
11-07-2022,36.66,36.71,33.23,33.4,930216020
12-07-2022,33.4,34.56,32.57,32.66,916386230
13-07-2022,32.66,35.03,31.85,34.93,1313110217
14-07-2022,34.93,37.26,33.56,37.13,1320137563
15-07-2022,37.13,39.07,36.52,37.37,1266226950
16-07-2022,37.37,40.45,36.36,39.59,1149921714
17-07-2022,39.59,41.07,38.3,38.62,1119935904
18-07-2022,38.62,44.04,38.55,43.54,1793335611
19-07-2022,43.54,47.45,42.56,44.88,2530289999
20-07-2022,44.88,46.32,41.27,42.03,2020822242
21-07-2022,42.03,44.07,39.67,43.11,1926399176
22-07-2022,43.11,44.32,40.04,40.55,1523873136
23-07-2022,40.55,41.92,38.62,39.98,1151436691
